Page,Day Index,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/perchero-suelo-metal-negro-21504.html,09/01/2019,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,11/01/2019,9,9,00:00:16,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,12/01/2019,9,9,00:00:00,9,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,13/01/2019,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,17/01/2019,9,9,00:00:03,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,19/01/2019,28,28,00:00:08,9,100.00%,67.86%,€0.00
/perchero-suelo-metal-negro-21504.html,20/01/2019,19,19,00:00:23,9,100.00%,47.37%,€122.52
/perchero-suelo-metal-negro-21504.html,22/01/2019,19,9,00:09:21,9,0.00%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,23/01/2019,19,19,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,24/01/2019,9,9,00:00:24,9,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,31/01/2019,9,9,00:01:07,9,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,09/02/2019,19,9,00:01:14,0,0.00%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,10/02/2019,28,28,00:00:00,28,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,11/02/2019,28,28,00:00:00,28,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,27/02/2019,28,19,00:03:33,19,0.00%,32.14%,€0.00
/perchero-suelo-metal-negro-21504.html,28/02/2019,19,9,00:00:10,0,0.00%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,03/03/2019,19,19,00:00:27,0,0.00%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,05/03/2019,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,17/03/2019,19,9,00:00:31,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,18/03/2019,9,9,00:00:00,0,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,23/03/2019,9,9,00:00:00,0,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,24/03/2019,19,19,00:01:01,9,100.00%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,26/03/2019,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,30/03/2019,9,9,00:00:40,0,0.00%,0.00%,€0.00
