,Unnamed: 0_x,Reference_x,CatN1,CatN2,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads,Dates,Unnamed: 0_y,Reference_y,Name,Net_Incomes,Units_sold,Unnamed: 0,Reference,Page_Views
45,125,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-18,62,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,18,103076,19.0
46,126,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-19,63,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,19,103076,9.0
47,127,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-20,64,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,20,103076,37.0
48,128,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-21,65,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,21,103076,19.0
49,129,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-22,66,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,155,103076,0.0
50,130,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-23,67,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,156,103076,0.0
51,131,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-24,68,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,157,103076,0.0
52,132,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-25,69,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,158,103076,0.0
53,133,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-26,4,103076.0,CONSOLA MARRÓN-BLANCO,214.88,1.0,159,103076,0.0
54,134,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-27,70,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,160,103076,0.0
