,Reference,Dates,Page_Views
143,61397,2018-12-09,9.0
514,61397,2018-12-10,0.0
144,61397,2018-12-11,9.0
145,61397,2018-12-12,9.0
515,61397,2018-12-13,0.0
146,61397,2018-12-14,9.0
516,61397,2018-12-15,0.0
517,61397,2018-12-16,0.0
147,61397,2018-12-17,9.0
148,61397,2018-12-18,9.0
518,61397,2018-12-19,0.0
519,61397,2018-12-20,0.0
149,61397,2018-12-21,9.0
150,61397,2018-12-22,9.0
520,61397,2018-12-23,0.0
521,61397,2018-12-24,0.0
522,61397,2018-12-25,0.0
523,61397,2018-12-26,0.0
524,61397,2018-12-27,0.0
151,61397,2018-12-28,9.0
525,61397,2018-12-29,0.0
526,61397,2018-12-30,0.0
527,61397,2018-12-31,0.0
528,61397,2019-01-01,0.0
529,61397,2019-01-02,0.0
530,61397,2019-01-03,0.0
531,61397,2019-01-04,0.0
532,61397,2019-01-05,0.0
533,61397,2019-01-06,0.0
534,61397,2019-01-07,0.0
152,61397,2019-01-08,9.0
153,61397,2019-01-09,9.0
535,61397,2019-01-10,0.0
536,61397,2019-01-11,0.0
154,61397,2019-01-12,19.0
537,61397,2019-01-13,0.0
538,61397,2019-01-14,0.0
155,61397,2019-01-15,9.0
156,61397,2019-01-16,9.0
539,61397,2019-01-17,0.0
540,61397,2019-01-18,0.0
541,61397,2019-01-19,0.0
157,61397,2019-01-20,9.0
542,61397,2019-01-21,0.0
158,61397,2019-01-22,9.0
543,61397,2019-01-23,0.0
544,61397,2019-01-24,0.0
545,61397,2019-01-25,0.0
546,61397,2019-01-26,0.0
547,61397,2019-01-27,0.0
548,61397,2019-01-28,0.0
549,61397,2019-01-29,0.0
159,61397,2019-01-30,9.0
550,61397,2019-01-31,0.0
160,61397,2019-02-01,9.0
161,61397,2019-02-02,9.0
551,61397,2019-02-03,0.0
552,61397,2019-02-04,0.0
162,61397,2019-02-05,9.0
163,61397,2019-02-06,28.0
164,61397,2019-02-07,9.0
165,61397,2019-02-08,9.0
553,61397,2019-02-09,0.0
166,61397,2019-02-10,19.0
167,61397,2019-02-11,9.0
168,61397,2019-02-12,9.0
169,61397,2019-02-13,37.0
170,61397,2019-02-14,9.0
554,61397,2019-02-15,0.0
555,61397,2019-02-16,0.0
171,61397,2019-02-17,9.0
556,61397,2019-02-18,0.0
172,61397,2019-02-19,19.0
173,61397,2019-02-20,19.0
174,61397,2019-02-21,9.0
557,61397,2019-02-22,0.0
175,61397,2019-02-23,19.0
558,61397,2019-02-24,0.0
176,61397,2019-02-25,9.0
559,61397,2019-02-26,0.0
177,61397,2019-02-27,19.0
560,61397,2019-02-28,0.0
178,61397,2019-03-01,9.0
179,61397,2019-03-02,9.0
561,61397,2019-03-03,0.0
562,61397,2019-03-04,0.0
563,61397,2019-03-05,0.0
564,61397,2019-03-06,0.0
180,61397,2019-03-07,9.0
181,61397,2019-03-08,9.0
565,61397,2019-03-09,0.0
182,61397,2019-03-10,9.0
183,61397,2019-03-11,19.0
