index;path;total_conversions;total_conversion_value
378;SEARCH > BRANDING > SHOPPING;2;76
379;SEARCH > SHOPPING > BRANDING;2;202
380;SEARCH > SHOPPING > FACEBOOK;2;43
381;SEARCH > SHOPPING > FACEBOOK > DIRECTO > DIRECTO > DIRECTO > DIRECTO > (Other) > DIRECTO;2;98
382;SEARCH > SHOPPING > SHOPPING > ORGANICO;2;56
383;ORGANICO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;2;136
384;ORGANICO > CRITEO > DIRECTO > DIRECTO > FACEBOOK;2;173
385;ORGANICO > CRITEO > ORGANICO > DIRECTO > DIRECTO;2;128
386;ORGANICO > SEARCH;2;110
387;ORGANICO > SEARCH > DIRECTO;2;85
388;ORGANICO > DIRECTO > DIRECTO > DIRECTO > CRITEO;2;136
