index;path;total_conversions;total_conversion_value
2574;BRANDING > ORGANICO > DIRECTO > DIRECTO > BRANDING > ORGANICO > BRANDING > (Other) > DIRECTO > DIRECTO;1;54
2575;BRANDING > ORGANICO > DIRECTO > DIRECTO > BRANDING > ORGANICO > BRANDING > (Other) > BRANDING > SHOPPING > ORGANICO;1;67
2576;BRANDING > ORGANICO > DIRECTO > DIRECTO > SHOPPING > SHOPPING > ORGANICO > BRANDING;1;60
2577;BRANDING > ORGANICO > DIRECTO > SMART (impression) > SMART (impression) > SMART (impression) > DIRECTO > DIRECTO;1;29
2578;BRANDING > ORGANICO > DIRECTO > SMART;1;47
2579;BRANDING > ORGANICO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;32
2580;BRANDING > ORGANICO > DIRECTO > SEARCH;1;228
2581;BRANDING > ORGANICO > DIRECTO > BRANDING > CRITEO;1;234
2582;BRANDING > ORGANICO > DIRECTO > BRANDING > CRITEO > ORGANICO > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING;1;216
2583;BRANDING > ORGANICO > DIRECTO > BRANDING > CRITEO > ORGANICO > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING;1;100
2584;BRANDING > ORGANICO > DIRECTO > BRANDING > DIRECTO;1;56
2585;BRANDING > ORGANICO > DIRECTO > BRANDING > DIRECTO > DIRECTO > BRANDING > BRANDING;1;15
2586;BRANDING > ORGANICO > DIRECTO > BRANDING > (Other);1;33
2587;BRANDING > ORGANICO > DIRECTO > BRANDING > BRANDING;1;30
2588;BRANDING > ORGANICO > DIRECTO > BRANDING > ORGANICO;1;22
2589;BRANDING > ORGANICO > DIRECTO > BRANDING > ORGANICO > DIRECTO > BRANDING > BRANDING > BRANDING > DIRECTO > BRANDING > FACEBOOK;1;513
2590;BRANDING > ORGANICO > DIRECTO > BRANDING > ORGANICO > BRANDING > ORGANICO > BRANDING > BRANDING;1;99
2591;BRANDING > ORGANICO > DIRECTO > FACEBOOK > DIRECTO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > CRITEO > DIRECTO > ORGANICO;1;25
2592;BRANDING > ORGANICO > DIRECTO > SHOPPING > DIRECTO > ORGANICO;1;29
2593;BRANDING > ORGANICO > SMART (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > SMART (impression) > BRANDING > ORGANICO > BRANDING > ORGANICO;1;23
2594;BRANDING > ORGANICO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > CRITEO;1;94
2595;BRANDING > ORGANICO > CRITEO > ORGANICO > DIRECTO > CRITEO > BRANDING > (Other) > SHOPPING > BRANDING > (Other) > BRANDING > (Other) > (Other) > BRANDING > (Other) > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;1;90
2596;BRANDING > ORGANICO > CRITEO > ORGANICO > DISPLAY GOOGLE > BRANDING > BRANDING > ORGANICO > BRANDING > BRANDING > ORGANICO > DIRECTO > SEARCH > SEARCH > SEARCH > ORGANICO > BRANDING > ORGANICO > SMART > ORGANICO > BRANDING > BRANDING > BRANDING > SEARCH > BRANDING > BRANDING > DISPLAY GOOGLE > DISPLAY GOOGLE > CRITEO > CRITEO > CRITEO > DIRECTO > ORGANICO > SEARCH > SEARCH > SEARCH > SEARCH > SEARCH > SEARCH;1;92
2597;BRANDING > ORGANICO > SEARCH > SEARCH > BRANDING > BRANDING > EMAIL;1;40
2598;BRANDING > ORGANICO > (Other) > (Other) > FACEBOOK > DIRECTO > ORGANICO > BRANDING;1;17
2599;BRANDING > ORGANICO > (Other) > (Other) > FACEBOOK > DIRECTO > ORGANICO > BRANDING > DIRECTO > DIRECTO > BRANDING > BRANDING;1;17
2600;BRANDING > ORGANICO > (Other) > ORGANICO > DIRECTO > BRANDING > ORGANICO;1;20
2601;BRANDING > ORGANICO > BRANDING > DIRECTO > DIRECTO > DIRECTO > ORGANICO > SMART > SMART > DIRECTO > DIRECTO > DIRECTO > SMART > SMART > SMART > DIRECTO;1;76
2602;BRANDING > ORGANICO > BRANDING > DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING;1;393
2603;BRANDING > ORGANICO > BRANDING > DIRECTO > ORGANICO;1;178
2604;BRANDING > ORGANICO > BRANDING > DIRECTO > ORGANICO > DIRECTO > DIRECTO > BRANDING > DIRECTO > BRANDING > BRANDING > BRANDING;1;21
2605;BRANDING > ORGANICO > BRANDING > EMAIL > ORGANICO > DIRECTO > BRANDING > BRANDING > SHOPPING > BRANDING > BRANDING > SHOPPING > SEARCH > ORGANICO;1;28
2606;BRANDING > ORGANICO > BRANDING > CRITEO > BRANDING > BRANDING > ORGANICO > BRANDING > ORGANICO > BRANDING > BRANDING;1;45
2607;BRANDING > ORGANICO > BRANDING > ORGANICO > BRANDING > BRANDING;1;75
2608;BRANDING > ORGANICO > BRANDING > ORGANICO > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > ORGANICO > CRITEO > ORGANICO > BRANDING > DIRECTO > DIRECTO > BRANDING > BRANDING;1;27
2609;BRANDING > ORGANICO > BRANDING > ORGANICO > SHOPPING > DIRECTO > ORGANICO;1;73
2610;BRANDING > ORGANICO > BRANDING > BRANDING > DIRECTO > DIRECTO;1;99
2611;BRANDING > ORGANICO > BRANDING > BRANDING > DIRECTO > (Other) > BRANDING > DIRECTO > BRANDING;1;27
2612;BRANDING > ORGANICO > BRANDING > BRANDING > DIRECTO > BRANDING > BRANDING;1;111
2613;BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > DIRECTO > DIRECTO > DIRECTO;1;92
2614;BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > BRANDING;1;359
2615;BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > FACEBOOK;1;216
2616;BRANDING > ORGANICO > BRANDING > BRANDING > ORGANICO;1;186
2617;BRANDING > ORGANICO > BRANDING > BRANDING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > BRANDING > ORGANICO > BRANDING > BRANDING > DIRECTO > DIRECTO;1;143
2618;BRANDING > ORGANICO > BRANDING > BRANDING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > BRANDING > ORGANICO > BRANDING > BRANDING > DIRECTO > DIRECTO > SHOPPING > ORGANICO > BRANDING > BRANDING > ORGANICO > BRANDING > BRANDING > ORGANICO > BRANDING > BRANDING;1;27
2619;BRANDING > ORGANICO > BRANDING > BRANDING > ORGANICO > DIRECTO > BRANDING > BRANDING;1;64
2620;BRANDING > ORGANICO > BRANDING > BRANDING > ORGANICO > DIRECTO > BRANDING > ORGANICO > BRANDING > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > BRANDING > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > BRANDING > BRANDING > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > BRANDING > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > SMART (impression) > BRANDING > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > ORGANICO > DISPLAY GOOGLE (impression) > SMART (impression) > DISPLAY GOOGLE (impression) > SMART (impression) > SMART (impression) > DISPLAY GOOGLE (impression) > SMART (impression) > SMART (impression) > SMART (impression) > BRANDING;1;27
2621;BRANDING > ORGANICO > BRANDING > SHOPPING > BRANDING > BRANDING > ORGANICO;1;454
2622;BRANDING > ORGANICO > SHOPPING;1;27
2623;BRANDING > ORGANICO > SHOPPING > CRITEO > ORGANICO > DIRECTO;1;54
2624;BRANDING > ORGANICO > SHOPPING > CRITEO > BRANDING > SHOPPING > SHOPPING > DISPLAY GOOGLE > CRITEO > BRANDING > DIRECTO > SHOPPING > CRITEO > SHOPPING > BRANDING > BRANDING > BRANDING;1;121
2625;BRANDING > ORGANICO > SHOPPING > CRITEO > BRANDING > SHOPPING > SHOPPING > DISPLAY GOOGLE > CRITEO > BRANDING > DIRECTO > SHOPPING > CRITEO > SHOPPING > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > BRANDING;1;121
2626;BRANDING > ORGANICO > SHOPPING > SHOPPING > SHOPPING > SHOPPING > BRANDING > ORGANICO > DIRECTO;1;130
2627;BRANDING > SHOPPING > DIRECTO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SHOPPING;1;100
2628;BRANDING > SHOPPING > DIRECTO > CRITEO > FACEBOOK > ORGANICO > DIRECTO > CRITEO > ORGANICO > DIRECTO;1;207
2629;BRANDING > SHOPPING > DIRECTO > SHOPPING > SHOPPING > DIRECTO;1;49
2630;BRANDING > SHOPPING > SMART > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > DIRECTO > DIRECTO > BRANDING;1;47
2631;BRANDING > SHOPPING > CRITEO > DIRECTO > DIRECTO;1;70
2632;BRANDING > SHOPPING > SEARCH > BRANDING > DIRECTO > ORGANICO > SHOPPING;1;87
2633;BRANDING > SHOPPING > SEARCH > SHOPPING > BRANDING > SEARCH > SEARCH > SEARCH > BRANDING > BRANDING > BRANDING > BRANDING > SEARCH > BRANDING > SHOPPING > SEARCH > SHOPPING;1;37
2634;BRANDING > SHOPPING > BRANDING > DIRECTO;1;298
2635;BRANDING > SHOPPING > BRANDING > DIRECTO > SHOPPING > BRANDING;1;23
2636;BRANDING > SHOPPING > BRANDING > ORGANICO;1;29
2637;BRANDING > SHOPPING > BRANDING > BRANDING;1;110
2638;BRANDING > SHOPPING > BRANDING > BRANDING > FACEBOOK;1;146
2639;BRANDING > SHOPPING > BRANDING > FACEBOOK;1;55
2640;BRANDING > SHOPPING > ORGANICO > DIRECTO > DIRECTO > EMAIL > BRANDING > CRITEO > DIRECTO > BING_ORGANICO;1;63
2641;BRANDING > SHOPPING > SHOPPING;1;237
2642;BRANDING > SHOPPING > SHOPPING > ORGANICO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > DIRECTO;1;186
2643;BRANDING > SHOPPING > SHOPPING > BRANDING;1;32
2644;BRANDING > SHOPPING > SHOPPING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > FACEBOOK;1;180
2645;BRANDING > SHOPPING > SHOPPING > BRANDING > ORGANICO > SHOPPING > SHOPPING > ORGANICO > DIRECTO;1;28
2646;BRANDING > SHOPPING > SHOPPING > SHOPPING > DIRECTO;1;36
2647;BRANDING > SHOPPING > SHOPPING > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > FACEBOOK;1;60
2648;BRANDING > DISPLAY GOOGLE (impression);1;40
2649;BRANDING > DISPLAY GOOGLE (impression) > BRANDING > DIRECTO > ORGANICO;1;160
2650;BRANDING > DISPLAY GOOGLE (impression) > BRANDING > DISPLAY GOOGLE (impression) > BRANDING;1;99
2651;BRANDING > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > CRITEO > BRANDING > DISPLAY GOOGLE (impression) > ORGANICO > (Other) > ORGANICO > CRITEO > DIRECTO > SMART (impression) > EMAIL > EMAIL > ORGANICO;1;31
2652;BRANDING > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > BRANDING;1;30
2653;BRANDING > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > ORGANICO > SHOPPING > DIRECTO > ORGANICO > BRANDING > ORGANICO > CRITEO > BRANDING > BRANDING;1;90
2654;BRANDING > BING_ORGANICO > BING_ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;121
2655;FACEBOOK > CRITEO > CRITEO;1;36
2656;FACEBOOK > CRITEO > DIRECTO > FACEBOOK > DIRECTO > ORGANICO > DIRECTO > BRANDING > BRANDING;1;15
2657;FACEBOOK > CRITEO > FACEBOOK > DIRECTO > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;63
2658;FACEBOOK > CRITEO > FACEBOOK > DIRECTO > FACEBOOK > FACEBOOK;1;36
2659;FACEBOOK > EMAIL > FACEBOOK > DIRECTO > DIRECTO;1;78
2660;FACEBOOK > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;51
2661;FACEBOOK > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;63
2662;FACEBOOK > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;26
2663;FACEBOOK > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;111
2664;FACEBOOK > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > FACEBOOK;1;35
2665;FACEBOOK > DIRECTO > DIRECTO > DIRECTO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;65
2666;FACEBOOK > DIRECTO > DIRECTO > DIRECTO > BRANDING;1;56
2667;FACEBOOK > DIRECTO > DIRECTO > DIRECTO > FACEBOOK > FACEBOOK > DIRECTO > CRITEO > DIRECTO > FACEBOOK > FACEBOOK;1;68
2668;FACEBOOK > DIRECTO > DIRECTO > DIRECTO > FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK;1;27
2669;FACEBOOK > DIRECTO > DIRECTO > CRITEO > FACEBOOK > FACEBOOK > DIRECTO;1;21
2670;FACEBOOK > DIRECTO > DIRECTO > FACEBOOK > DIRECTO > FACEBOOK > DIRECTO > DIRECTO;1;40
2671;FACEBOOK > DIRECTO > DIRECTO > FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK;1;174
2672;FACEBOOK > DIRECTO > CRITEO;1;15
2673;FACEBOOK > DIRECTO > CRITEO > FACEBOOK > DIRECTO > DIRECTO;1;32
2674;FACEBOOK > DIRECTO > FACEBOOK > DIRECTO > DIRECTO;1;41
2675;FACEBOOK > DIRECTO > FACEBOOK > DIRECTO > DIRECTO > DIRECTO;1;76
2676;FACEBOOK > DIRECTO > FACEBOOK > FACEBOOK > DIRECTO;1;18
2677;FACEBOOK > DIRECTO > INSTAGRAM > DIRECTO;1;24
2678;FACEBOOK > (Other) > FACEBOOK > (Other) > FACEBOOK > FACEBOOK;1;55
2679;FACEBOOK > (Other) > FACEBOOK > FACEBOOK > FACEBOOK;1;22
2680;FACEBOOK > BRANDING > DIRECTO;1;27
2681;FACEBOOK > BRANDING > BRANDING > BRANDING > DIRECTO > FACEBOOK;1;146
2682;FACEBOOK > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > ORGANICO > BRANDING > DIRECTO;1;129
2683;FACEBOOK > FACEBOOK > DIRECTO > CRITEO;1;56
2684;FACEBOOK > FACEBOOK > DIRECTO > FACEBOOK;1;104
2685;FACEBOOK > FACEBOOK > DIRECTO > FACEBOOK > FACEBOOK > FACEBOOK;1;38
2686;FACEBOOK > FACEBOOK > CRITEO;1;23
2687;FACEBOOK > FACEBOOK > CRITEO > FACEBOOK;1;23
2688;FACEBOOK > FACEBOOK > CRITEO > FACEBOOK > CRITEO > DIRECTO;1;30
2689;FACEBOOK > FACEBOOK > (Other) > FACEBOOK > FACEBOOK > DIRECTO;1;62
2690;FACEBOOK > FACEBOOK > FACEBOOK > DIRECTO;1;12
2691;FACEBOOK > FACEBOOK > FACEBOOK > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;34
2692;FACEBOOK > FACEBOOK > FACEBOOK > DIRECTO > FACEBOOK > FACEBOOK > DIRECTO > DIRECTO > DIRECTO;1;229
2693;FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK > DIRECTO;1;22
2694;FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK > DIRECTO;1;39
2695;FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK > FACEBOOK > DIRECTO > FACEBOOK > FACEBOOK > FACEBOOK > DIRECTO > FACEBOOK;1;29
2696;FACEBOOK > ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;69
2697;FACEBOOK > ORGANICO > FACEBOOK;1;22
2698;FACEBOOK > SHOPPING;1;52
2699;FACEBOOK > INSTAGRAM > DIRECTO;1;137
2700;FACEBOOK > INSTAGRAM > DIRECTO > FACEBOOK;1;24
2701;FACEBOOK > INSTAGRAM > DIRECTO > INSTAGRAM > FACEBOOK;1;34
2702;SHOPPING > CRITEO > CRITEO > CRITEO > EMAIL;1;19
2703;SHOPPING > CRITEO > CRITEO > BRANDING > ORGANICO > CRITEO > BRANDING;1;45
2704;SHOPPING > CRITEO > CRITEO > ORGANICO > CRITEO > DIRECTO > DISPLAY GOOGLE;1;54
2705;SHOPPING > CRITEO > SEARCH > DIRECTO;1;347
2706;SHOPPING > CRITEO > SEARCH > SHOPPING > SEARCH > CRITEO > SEARCH;1;91
2707;SHOPPING > CRITEO > SEARCH > SHOPPING > BRANDING > (Other) > BRANDING > BRANDING > BRANDING > BRANDING;1;19
2708;SHOPPING > CRITEO > SMART (impression) > DIRECTO;1;30
2709;SHOPPING > CRITEO > SMART (impression) > DIRECTO > SHOPPING;1;44
2710;SHOPPING > CRITEO > SMART > SHOPPING > SMART;1;33
2711;SHOPPING > CRITEO > DIRECTO > DIRECTO;1;60
2712;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SHOPPING > DIRECTO > DIRECTO > EMAIL > DIRECTO > EMAIL;1;49
2713;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > SMART > CRITEO > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DIRECTO > DIRECTO > DIRECTO;1;45
2714;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;294
2715;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;22
2716;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SHOPPING > SHOPPING;1;35
2717;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DISPLAY GOOGLE > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;24
2718;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > CRITEO > BRANDING > ORGANICO > EMAIL > DIRECTO > EMAIL > DIRECTO > DIRECTO > BRANDING > DIRECTO > DIRECTO > EMAIL;1;20
2719;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;45
2720;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > BRANDING > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > BRANDING;1;193
2721;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > BRANDING > DIRECTO;1;144
2722;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > BRANDING > CRITEO;1;205
2723;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > BRANDING > BRANDING;1;35
2724;SHOPPING > CRITEO > DIRECTO > DIRECTO > DIRECTO > SHOPPING;1;194
2725;SHOPPING > CRITEO > DIRECTO > DIRECTO > BRANDING > BRANDING;1;145
2726;SHOPPING > CRITEO > DIRECTO > CRITEO > CRITEO > BRANDING > DIRECTO > CRITEO > DIRECTO > BRANDING > BRANDING > DIRECTO > BRANDING > ORGANICO > CRITEO > DIRECTO > BRANDING > BRANDING > BRANDING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;148
2727;SHOPPING > CRITEO > DIRECTO > (Other) > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;111
2728;SHOPPING > CRITEO > DIRECTO > BRANDING > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > BRANDING;1;60
2729;SHOPPING > CRITEO > DIRECTO > BRANDING > DIRECTO > SHOPPING > BRANDING;1;30
2730;SHOPPING > CRITEO > DIRECTO > BRANDING > CRITEO > BRANDING > BRANDING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;103
2731;SHOPPING > CRITEO > DIRECTO > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > CRITEO > DIRECTO > BRANDING;1;146
2732;SHOPPING > CRITEO > DIRECTO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;1;135
2733;SHOPPING > CRITEO > DIRECTO > ORGANICO;1;40
2734;SHOPPING > CRITEO > DIRECTO > ORGANICO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;29
2735;SHOPPING > CRITEO > DIRECTO > ORGANICO > BRANDING > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > CRITEO > DIRECTO > ORGANICO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;149
2736;SHOPPING > CRITEO > DIRECTO > SHOPPING > DIRECTO;1;90
2737;SHOPPING > CRITEO > DIRECTO > SHOPPING > DIRECTO > ORGANICO;1;72
2738;SHOPPING > CRITEO > DIRECTO > SHOPPING > CRITEO > ORGANICO > SHOPPING;1;50
2739;SHOPPING > CRITEO > DIRECTO > SHOPPING > ORGANICO > CRITEO > DIRECTO > DIRECTO;1;146
2740;SHOPPING > CRITEO > DIRECTO > SHOPPING > BRANDING > SHOPPING > BRANDING > BRANDING;1;20
2741;SHOPPING > CRITEO > DIRECTO > SHOPPING > SHOPPING > CRITEO;1;32
2742;SHOPPING > CRITEO > DIRECTO > SHOPPING > SHOPPING > ORGANICO > DIRECTO > BRANDING;1;70
2743;SHOPPING > CRITEO > DIRECTO > SHOPPING > SHOPPING > ORGANICO > DIRECTO > BRANDING > BRANDING;1;164
2744;SHOPPING > CRITEO > (Other) > DIRECTO > DIRECTO > DIRECTO > DIRECTO > (Other) > CRITEO > DIRECTO;1;79
2745;SHOPPING > CRITEO > (Other) > CRITEO > CRITEO > DIRECTO > DIRECTO > DIRECTO;1;45
2746;SHOPPING > CRITEO > (Other) > CRITEO > ORGANICO > DIRECTO > CRITEO > BRANDING > SHOPPING > ORGANICO > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;45
2747;SHOPPING > CRITEO > BRANDING;1;33
2748;SHOPPING > CRITEO > BRANDING > DIRECTO;1;20
2749;SHOPPING > CRITEO > BRANDING > DIRECTO > DIRECTO > DIRECTO;1;52
2750;SHOPPING > CRITEO > BRANDING > DIRECTO > ORGANICO > CRITEO > DIRECTO;1;136
2751;SHOPPING > CRITEO > BRANDING > CRITEO;1;25
2752;SHOPPING > CRITEO > BRANDING > BRANDING > ORGANICO > BRANDING > SEARCH > (Other) > SEARCH;1;27
2753;SHOPPING > CRITEO > BRANDING > BRANDING > ORGANICO > FACEBOOK > BRANDING;1;154
2754;SHOPPING > CRITEO > BRANDING > BRANDING > BRANDING;1;63
2755;SHOPPING > CRITEO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;1;252
2756;SHOPPING > CRITEO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;1;326
2757;SHOPPING > CRITEO > BRANDING > ORGANICO;1;75
2758;SHOPPING > CRITEO > BRANDING > ORGANICO > SMART > SMART (impression) > SMART (impression) > SMART (impression) > CRITEO;1;34
2759;SHOPPING > CRITEO > ORGANICO;1;40
2760;SHOPPING > CRITEO > ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;53
2761;SHOPPING > CRITEO > ORGANICO > CRITEO;1;70
2762;SHOPPING > CRITEO > ORGANICO > CRITEO > ORGANICO > DIRECTO > CRITEO > ORGANICO > DIRECTO;1;86
2763;SHOPPING > CRITEO > ORGANICO > SHOPPING > SHOPPING;1;35
2764;SHOPPING > CRITEO > SHOPPING > SHOPPING > CRITEO > DIRECTO > DIRECTO;1;16
2765;SHOPPING > CRITEO > SHOPPING > SHOPPING > CRITEO > SEARCH > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > CRITEO > SEARCH > DIRECTO > DIRECTO > DIRECTO;1;157
2766;SHOPPING > CRITEO > SHOPPING > SHOPPING > ORGANICO;1;50
2767;SHOPPING > CRITEO > SHOPPING > SHOPPING > SHOPPING > SEARCH > SMART > SMART > SMART > SMART > SMART > ORGANICO > SEARCH > ORGANICO > CRITEO > SMART > DIRECTO > CRITEO > SMART > BRANDING > DIRECTO;1;15
2768;SHOPPING > CRITEO > SHOPPING > SHOPPING > SHOPPING > BRANDING > BRANDING > CRITEO;1;25
2769;SHOPPING > CRITEO > SHOPPING > SHOPPING > SHOPPING > SHOPPING > CRITEO > SHOPPING > SHOPPING > SHOPPING;1;52
2770;SHOPPING > SEARCH > CRITEO > DIRECTO > SEARCH > ORGANICO > CRITEO > DIRECTO > DIRECTO;1;57
2771;SHOPPING > SEARCH > CRITEO > SHOPPING > FACEBOOK;1;21
2772;SHOPPING > SEARCH > CRITEO > SHOPPING > SHOPPING;1;35
2773;SHOPPING > SEARCH > CRITEO > SHOPPING > SHOPPING > SHOPPING > CRITEO > SHOPPING > SHOPPING > SHOPPING > CRITEO > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > CRITEO > BRANDING > SHOPPING > BRANDING > BRANDING > ORGANICO > BRANDING > BRANDING > ORGANICO > BRANDING > DIRECTO > SHOPPING > SHOPPING > BRANDING > BRANDING;1;28
2774;SHOPPING > SEARCH > SEARCH;1;44
2775;SHOPPING > SEARCH > SEARCH > CRITEO > SEARCH;1;27
2776;SHOPPING > SEARCH > SEARCH > SEARCH > DIRECTO;1;68
