,CatN1,CatN2,Cat_Price,CPC_medio,CPC_medio_1w,CPC_medio_2w,CPC_medio_3w,CPC_medio_4w,Impressions,Impressions_1w,Impressions_2w,Impressions_3w,Impressions_4w,Clics,Clics_1w,Clics_2w,Clics_3w,Clics_4w,CTR,CTR_1w,CTR_2w,CTR_3w,CTR_4w,Page_Views,Page_Views_1w,Page_Views_2w,Page_Views_3w,Page_Views_4w,Cost,Cost_1w,Cost_2w,Cost_3w,Cost_4w,Conversions,Conversions_1w,Conversions_2w,Conversions_3w,Conversions_4w,All_Conversions,All_Conversions_1w,All_Conversions_2w,All_Conversions_3w,All_Conversions_4w,Ads_Income,Ads_Income_1w,Ads_Income_2w,Ads_Income_3w,Ads_Income_4w,Ads_Income_All,Ads_Income_All_1w,Ads_Income_All_2w,Ads_Income_All_3w,Ads_Income_All_4w,Net_Incomes,Net_Incomes_1w,Net_Incomes_2w,Net_Incomes_3w,Net_Incomes_4w,Units_sold,Units_sold_1w,Units_sold_2w,Units_sold_3w,Units_sold_4w,ROAS_Ads,ROAS
133,muebles,"consolas, recibidores y tocadores",200.0,0.23,0.3,0.31,0.33,0.34,902.0,858.43,592.5,609.1,635.21,5.0,5.43,4.5,4.19,4.0,0.005543237250554324,0.01,0.01,0.01,0.01,9.0,10.71,8.64,10.62,11.29,1.15,1.65,1.46,1.41,1.4,0.0,0.02,0.01,0.01,0.01,0.0,0.04,0.02,0.01,0.01,0.0,4.08,2.04,1.36,1.02,0.0,6.56,3.28,2.19,1.64,139.91,19.99,9.99,30.04,22.53,1.0,0.14,0.07,0.19,0.14,0.0,121.6608695652174
151,muebles,"consolas, recibidores y tocadores",200.0,0.37,0.4,0.34,0.31,0.32,579.0,457.43,417.29,511.29,552.64,6.0,4.29,2.93,3.14,3.61,0.010362694300518135,0.01,0.01,0.01,0.01,19.0,21.29,17.36,14.67,14.0,2.23,1.77,1.19,1.11,1.25,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,1.36,1.02,0.0,0.0,0.0,2.19,1.64,147.27,21.04,10.52,27.35,20.51,1.0,0.14,0.07,0.19,0.14,0.0,66.04035874439462
154,muebles,"consolas, recibidores y tocadores",200.0,0.49,0.4,0.41,0.33,0.32,717.0,561.0,470.57,479.05,573.89,3.0,4.86,3.64,2.95,3.57,0.0041841004184100415,0.01,0.01,0.01,0.01,19.0,9.29,15.36,14.67,13.68,1.46,1.92,1.51,1.14,1.27,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,1.64,294.55,63.12,31.56,34.71,31.03,2.0,0.43,0.21,0.24,0.21,0.0,201.74657534246577
155,muebles,"consolas, recibidores y tocadores",200.0,0.33,0.37,0.41,0.33,0.32,701.0,595.57,495.07,483.62,583.54,3.0,4.71,3.79,2.95,3.54,0.0042796005706134095,0.01,0.01,0.01,0.01,19.0,12.0,15.36,15.57,13.68,1.0,1.78,1.56,1.14,1.24,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,1.64,139.91,83.1,41.55,27.7,36.03,1.0,0.57,0.29,0.19,0.25,0.0,139.91
174,muebles,"consolas, recibidores y tocadores",200.0,0.34,0.33,0.42,0.41,0.4,708.0,795.14,731.93,730.1,677.29,5.0,3.14,3.71,3.86,4.21,0.007062146892655367,0.0,0.01,0.01,0.01,19.0,17.43,14.0,17.33,15.32,1.68,1.14,1.62,1.62,1.74,0.0,0.0,0.04,0.02,0.02,0.0,0.0,0.07,0.05,0.04,0.0,0.0,6.92,4.61,3.46,0.0,0.0,13.84,9.22,6.92,132.13,18.88,49.18,53.47,45.36,1.0,0.14,0.36,0.38,0.32,0.0,78.64880952380952
175,muebles,"consolas, recibidores y tocadores",200.0,0.28,0.33,0.41,0.4,0.4,726.0,813.86,731.21,730.52,688.14,2.0,3.29,3.64,3.81,4.07,0.0027548209366391185,0.0,0.01,0.01,0.01,19.0,17.43,15.36,17.33,15.32,0.55,1.17,1.55,1.58,1.66,0.0,0.0,0.04,0.02,0.02,0.0,0.0,0.07,0.05,0.04,0.0,0.0,6.92,4.61,3.46,0.0,0.0,13.84,9.22,6.92,147.27,39.91,49.76,46.46,50.62,1.0,0.29,0.36,0.33,0.36,0.0,267.76363636363635
201,muebles,"consolas, recibidores y tocadores",300.0,0.26,0.34,0.31,0.33,0.35,1020.0,1464.14,996.0,1068.0,1077.11,4.0,6.43,4.36,4.52,4.64,0.0039215686274509795,0.0,0.01,0.01,0.01,19.0,10.71,8.0,8.81,9.96,1.04,2.26,1.58,1.67,1.78,0.0,0.08,0.04,0.03,0.02,0.0,0.15,0.07,0.05,0.04,0.0,16.44,8.22,5.48,4.11,0.0,32.34,16.17,10.78,8.08,180.17,51.48,25.74,17.16,22.85,1.0,0.29,0.14,0.1,0.14,0.0,173.24038461538458
141,decoración para tu casa,espejos de pie y vestidores,50.0,0.28,0.33,0.23,0.15,0.12,1182.0,688.86,414.64,276.67,207.5,22.0,12.57,7.5,5.0,3.75,0.018612521150592216,0.02,0.01,0.01,0.01,56.0,22.57,17.29,13.76,11.32,6.19,4.04,2.34,1.56,1.17,0.0,0.16,0.08,0.05,0.04,0.0,0.32,0.16,0.11,0.08,0.0,19.34,9.67,6.45,4.84,0.0,39.53,19.77,13.18,9.88,72.72,10.39,7.79,6.93,5.19,2.0,0.29,0.21,0.19,0.14,0.0,11.747980613893375
149,decoración para tu casa,espejos de pie y vestidores,50.0,0.2,0.21,0.27,0.24,0.18,1545.0,1898.57,1361.71,970.48,728.29,19.0,18.0,16.29,11.95,8.96,0.012297734627831715,0.01,0.01,0.01,0.01,37.0,19.86,25.21,20.81,16.29,3.73,3.83,4.14,3.06,2.29,0.0,0.14,0.15,0.1,0.07,0.0,0.29,0.3,0.2,0.15,0.0,6.29,12.81,8.54,6.41,0.0,12.57,26.05,17.37,13.03,36.36,10.39,10.39,6.93,7.79,1.0,0.29,0.29,0.19,0.21,0.0,9.74798927613941
153,decoración para tu casa,espejos de pie y vestidores,50.0,0.23,0.21,0.23,0.27,0.21,2541.0,1750.29,1652.5,1261.05,960.43,22.0,15.14,17.21,14.38,11.04,0.008658008658008658,0.01,0.01,0.01,0.01,19.0,18.57,26.57,23.05,19.29,5.08,3.23,3.93,3.59,2.75,0.0,0.14,0.07,0.1,0.07,0.0,0.29,0.14,0.2,0.15,0.0,6.29,3.14,8.54,6.41,0.0,12.57,6.29,17.37,13.03,36.36,15.58,12.99,8.66,9.09,1.0,0.43,0.36,0.24,0.25,0.0,7.15748031496063
