Conversiones;Valor de las conversiones;Path_1;Path_2;Path_3;Path_4;Path_5;Path_6;Path_7;Path_8;Path_9;Path_10;Path_11;Path_12;Path_13;Path_14;Path_15;Path_16;Path_17;Path_18;Path_19;Path_20;Path_21;Path_22;Path_23;Path_24;Path_25;Path_26;Path_27;Path_28;Path_29;Path_30;Path_31;Path_32;Path_33;Path_34;Path_35;Path_36;Path_37;Path_38;Path_39;Path_40;Path_41;Path_42;Path_43;Path_44;Path_45;Path_46;Path_47;Path_48;Path_49;Path_50;Path_51;Path_52;Path_53;Path_54;Path_55;Path_56;Path_57;Path_58;Path_59;Path_60;Path_61;Path_62;Path_63;Path_64;Path_65;Path_66;Path_67;Path_68;Path_69;Path_70;Path_71;Path_72;Path_73;Path_74
8;31,90 €;criteo / banner ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;276,41 €;yahoo / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;153,90 €;(direct) / (none) ; google / cpc ; google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;107,80 €;(direct) / (none) ; (direct) / (none) ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;107,90 €;google / organic ; google / cpc ; criteo / banner ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;99,70 €;google / organic ; (direct) / (none) ; google / cpc ; google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;250,20 €;google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;21,50 €;google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;65,20 €;google / cpc ; google / cpc ; google / cpc ; google / cpc ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;523,83 €;google / cpc ; google / cpc ; google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;64,80 €;google / cpc ; google / cpc ; criteo / banner ; (direct) / (none) ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;406,80 €;google / cpc ; google / cpc ; google / organic ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;344,60 €;google / cpc ; criteo / banner ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;72,50 €;google / cpc ; (direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;161,70 €;google / cpc ; (direct) / (none) ; (direct) / (none) ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;145,70 €;google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;83,80 €;google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;305,10 €;google / cpc ; google / organic ; criteo / banner ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;180,90 €;bing / organic ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;154,99 €;Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;24,40 €;criteo / banner ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;50,10 €;(direct) / (none) ; google / cpc ; google / organic ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;214,70 €;(direct) / (none) ; criteo / banner ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;127,10 €;(direct) / (none) ; google / organic ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;874,00 €;google / organic ; facebook.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;371,00 €;google / organic ; outlook.live.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;37,90 €;google / organic ; google / cpc ; google / organic ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;79,80 €;google / organic ; (direct) / (none) ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;49,90 €;bing / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;416,30 €;outlook.live.com / referral ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;133,20 €;google / cpc ; google / cpc ; google / cpc ; google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;273,23 €;google / cpc ; google / cpc ; google / cpc ; (direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;74,90 €;google / cpc ; google / cpc ; (direct) / (none) ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;29,80 €;google / cpc ; google / cpc ; (direct) / (none) ; google / cpc ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;179,50 €;google / cpc ; Universal LDK / email ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;171,08 €;google / cpc ; criteo / banner ; google / cpc ; google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;20,60 €;google / cpc ; criteo / banner ; google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;343,00 €;google / cpc ; (direct) / (none) ; google / cpc ; (direct) / (none) ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;152,80 €;google / cpc ; (direct) / (none) ; criteo / banner ; (direct) / (none) ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;307,50 €;google / cpc ; (direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;275,00 €;google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
