Fuente/medio;Conversiones;Valor de las conversiones
google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);9;458,00 €
Universal LDK / email > (direct) / (none) > Universal LDK / email;9;0,00 €
(direct) / (none) > google / cpc > google / organic;9;257,14 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);9;282,20 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc;8;79,90 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc;8;133,82 €
google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc;8;49,50 €
google / cpc > google / cpc > google / cpc > criteo / banner > google / cpc;8;0,00 €
google / cpc > google / cpc > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);8;270,60 €
google / cpc > google / cpc > google / organic > criteo / banner;8;69,50 €
google / cpc > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);8;103,50 €
google / cpc > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc;8;258,60 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;8;0,00 €
google / cpc > google / organic > google / cpc > google / cpc > google / cpc;8;633,20 €
Universal LDK / email > google / cpc > Universal LDK / email;8;71,10 €
Universal LDK / email > google / organic;8;209,70 €
criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);8;31,90 €
yahoo / organic;8;276,41 €
(direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc;8;153,90 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none);8;107,80 €
google / organic > google / cpc > criteo / banner > google / cpc;8;107,90 €
google / organic > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc;8;99,70 €
facebook.com / referral;8;0,00 €
bing / cpc > bing / cpc;7;0,00 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc;7;250,20 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc;7;21,50 €
google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none);7;65,20 €
google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);7;523,83 €
google / cpc > google / cpc > criteo / banner > (direct) / (none) > google / cpc;7;64,80 €
google / cpc > google / cpc > google / organic > (direct) / (none) > (direct) / (none);7;406,80 €
google / cpc > criteo / banner > (direct) / (none) > google / cpc;7;0,00 €
google / cpc > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);7;344,60 €
google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc;7;72,50 €
google / cpc > (direct) / (none) > (direct) / (none) > criteo / banner;7;161,70 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;7;145,70 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic;7;83,80 €
google / cpc > google / organic > criteo / banner > (direct) / (none);7;305,10 €
bing / organic > (direct) / (none);7;180,90 €
Universal LDK / email > Universal LDK / email > (direct) / (none) > Universal LDK / email;7;0,00 €
Universal LDK / email > Universal LDK / email > (direct) / (none) > (direct) / (none);7;154,99 €
criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);7;24,40 €
(direct) / (none) > google / cpc > google / organic > google / cpc;7;50,10 €
(direct) / (none) > criteo / banner > google / cpc;7;214,70 €
(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none);7;127,10 €
google / organic > facebook.com / referral;7;874,00 €
google / organic > outlook.live.com / referral;7;371,00 €
google / organic > google / cpc > google / cpc > google / cpc > google / cpc;7;0,00 €
google / organic > google / cpc > google / organic > google / cpc;7;37,90 €
google / organic > (direct) / (none) > criteo / banner;7;79,80 €
bing / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none);6;49,90 €
outlook.live.com / referral > (direct) / (none);6;416,30 €
google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none);6;133,20 €
google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc;6;273,23 €
google / cpc > google / cpc > (direct) / (none) > google / cpc > (direct) / (none);6;74,90 €
google / cpc > google / cpc > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none);6;29,80 €
google / cpc > google / cpc > (direct) / (none) > criteo / banner;6;0,00 €
google / cpc > Universal LDK / email > (direct) / (none);6;179,50 €
google / cpc > criteo / banner > google / cpc > google / organic;6;171,08 €
google / cpc > criteo / banner > google / organic;6;20,60 €
google / cpc > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc > (direct) / (none);6;343,00 €
google / cpc > (direct) / (none) > Universal LDK / email;6;0,00 €
google / cpc > (direct) / (none) > criteo / banner > (direct) / (none) > google / cpc;6;152,80 €
google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc;6;307,50 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);6;275,00 €
google / cpc > (direct) / (none) > google / organic > google / cpc;6;37,50 €
google / cpc > (direct) / (none) > google / organic > (direct) / (none);6;307,30 €
google / cpc > google / organic > google / cpc > google / organic > google / cpc;6;71,60 €
google / cpc > google / organic > google / cpc > google / organic > (direct) / (none);6;327,30 €
google / cpc > google / organic > (direct) / (none) > (direct) / (none) > criteo / banner;6;406,80 €
google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none);6;176,10 €
google / cpc > facebook.com / referral > (direct) / (none) > (direct) / (none);6;64,40 €
criteo / retargeting > google / cpc > google / cpc;6;99,90 €
Facebook / PaidSocial > l.instagram.com / referral;6;84,30 €
Facebook / PaidSocial > criteo / banner > (direct) / (none);6;37,40 €
criteo / banner > lm.facebook.com / referral;6;0,00 €
criteo / banner > google / cpc > google / cpc;6;64,80 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);6;198,50 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic;6;368,00 €
(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);6;69,80 €
google / organic > google / cpc > google / organic > (direct) / (none);6;19,90 €
google / organic > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none);6;88,90 €
google / organic > (direct) / (none) > (direct) / (none) > criteo / banner > (direct) / (none);6;263,80 €
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);6;59,10 €
es.informationvine.com / referral;6;360,00 €
bing / cpc > (direct) / (none) > criteo / banner;5;189,00 €
l.instagram.com / referral > (direct) / (none);5;0,00 €
google / cpc > m.facebook.com / referral;5;156,10 €
google / cpc > outlook.live.com / referral > google / cpc > (direct) / (none);5;287,30 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > criteo / banner > google / cpc > google / cpc;5;319,50 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);5;386,90 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / organic;5;139,80 €
google / cpc > google / cpc > google / cpc > google / cpc > criteo / banner;5;78,59 €
google / cpc > google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none) > (direct) / (none);5;316,80 €
google / cpc > google / cpc > google / cpc > google / organic > google / cpc > google / cpc > google / cpc;5;41,90 €
google / cpc > google / cpc > google / cpc > facebook.com / referral;5;329,40 €
google / cpc > bing / organic;5;119,10 €
google / cpc > criteo / banner > google / cpc > (direct) / (none);5;20,20 €
google / cpc > criteo / banner > (direct) / (none) > google / cpc > (direct) / (none);5;34,90 €
google / cpc > criteo / banner > (direct) / (none) > (direct) / (none) > google / cpc;5;85,70 €
google / cpc > criteo / banner > (direct) / (none) > google / organic;5;277,20 €
google / cpc > criteo / banner > google / organic > criteo / banner;5;85,50 €
google / cpc > (direct) / (none) > criteo / banner > (direct) / (none);5;141,60 €
google / cpc > (direct) / (none) > (direct) / (none) > criteo / banner > google / cpc;5;342,70 €
google / cpc > facebook.com / referral > google / cpc;5;761,00 €
google / cpc > es.search.yahoo.com / referral;5;63,90 €
criteo / retargeting > criteo / banner > (direct) / (none);5;0,00 €
criteo / retargeting > criteo / banner > (direct) / (none) > (direct) / (none);5;99,90 €
Facebook / PaidSocial > m.facebook.com / referral;5;0,00 €
Universal LDK / email > Universal LDK / email > google / cpc;5;27,90 €
Universal LDK / email > Universal LDK / email > Universal LDK / email > Universal LDK / email > (direct) / (none) > (direct) / (none) > (direct) / (none);5;157,05 €
Universal LDK / email > Universal LDK / email > Universal LDK / email > (direct) / (none);5;35,90 €
Universal LDK / email > google / organic > Universal LDK / email;5;0,00 €
criteo / banner > m.facebook.com / referral;5;0,00 €
criteo / banner > google / organic;5;0,00 €
(direct) / (none) > m.facebook.com / referral;5;41,50 €
(direct) / (none) > google / cpc > criteo / banner;5;0,00 €
(direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none);5;14,90 €
(direct) / (none) > Universal LDK / email > (direct) / (none) > Universal LDK / email;5;71,30 €
(direct) / (none) > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);5;41,90 €
(direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none);5;86,90 €
(direct) / (none) > (direct) / (none) > Universal LDK / email;5;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;5;0,00 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);5;39,90 €
(direct) / (none) > google / organic > google / cpc;5;0,00 €
google / organic > loltarerecomienda / post;5;0,00 €
google / organic > google / cpc > google / cpc > (direct) / (none) > (direct) / (none);5;174,38 €
google / organic > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none);5;0,00 €
google / organic > (direct) / (none) > google / cpc > google / organic;5;122,90 €
google / organic > (direct) / (none) > google / cpc > google / organic > (direct) / (none) > (direct) / (none);5;260,30 €
google / organic > (direct) / (none) > (direct) / (none) > criteo / banner;5;69,50 €
google / organic > (direct) / (none) > (direct) / (none) > criteo / banner > google / organic;5;105,70 €
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);5;138,20 €
google / organic > (direct) / (none) > Universal LDK / email;5;0,00 €
bing / cpc > criteo / banner > (direct) / (none);4;165,60 €
bing / cpc > google / organic;4;189,00 €
m.facebook.com / referral > (direct) / (none);4;51,50 €
google / cpc > google / cpc > m.facebook.com / referral;4;43,50 €
google / cpc > google / cpc > outlook.live.com / referral;4;46,40 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none);4;71,59 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none);4;44,90 €
google / cpc > google / cpc > google / cpc > google / cpc > criteo / banner > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc;4;579,70 €
google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc;4;198,00 €
google / cpc > google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);4;134,30 €
google / cpc > google / cpc > google / cpc > criteo / banner > google / cpc > google / cpc > google / cpc;4;39,40 €
google / cpc > google / cpc > google / cpc > criteo / banner > (direct) / (none);4;234,20 €
google / cpc > google / cpc > google / cpc > (direct) / (none) > m.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none);4;31,80 €
google / cpc > google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc;4;245,50 €
google / cpc > google / cpc > Universal LDK / email;4;0,00 €
