,Reference,Name,Dates,Net_Incomes,Units_sold
14,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-20,99.51,2.0
150,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-21,0.0,0.0
151,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-22,0.0,0.0
152,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-23,0.0,0.0
153,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-24,0.0,0.0
154,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-25,0.0,0.0
155,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-26,0.0,0.0
156,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-27,0.0,0.0
157,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-28,0.0,0.0
15,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-29,99.5,2.0
158,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-30,0.0,0.0
16,122334.0,MESITA DE NOCHE 2 CAJONES,2019-01-31,49.75,1.0
159,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-01,0.0,0.0
160,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-02,0.0,0.0
161,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-03,0.0,0.0
162,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-04,0.0,0.0
163,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-05,0.0,0.0
164,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-06,0.0,0.0
165,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-07,0.0,0.0
166,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-08,0.0,0.0
167,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-09,0.0,0.0
168,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-10,0.0,0.0
169,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-11,0.0,0.0
170,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-12,0.0,0.0
171,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-13,0.0,0.0
172,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-14,0.0,0.0
173,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-15,0.0,0.0
174,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-16,0.0,0.0
175,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-17,0.0,0.0
17,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-18,178.72,4.0
176,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-19,0.0,0.0
177,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-20,0.0,0.0
178,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-21,0.0,0.0
18,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-22,47.02,1.0
179,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-23,0.0,0.0
180,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-24,0.0,0.0
181,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-25,0.0,0.0
182,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-26,0.0,0.0
183,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-27,0.0,0.0
184,122334.0,MESITA DE NOCHE 2 CAJONES,2019-02-28,0.0,0.0
185,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-01,0.0,0.0
186,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-02,0.0,0.0
187,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-03,0.0,0.0
19,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-04,55.29,1.0
188,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-05,0.0,0.0
189,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-06,0.0,0.0
20,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-07,55.29,1.0
190,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-08,0.0,0.0
191,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-09,0.0,0.0
192,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-10,0.0,0.0
193,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-11,0.0,0.0
21,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-12,110.58,2.0
194,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-13,0.0,0.0
195,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-14,0.0,0.0
196,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-15,0.0,0.0
197,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-16,0.0,0.0
198,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-17,0.0,0.0
199,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-18,0.0,0.0
200,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-19,0.0,0.0
22,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-20,110.58,2.0
23,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-21,110.58,2.0
201,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-22,0.0,0.0
202,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-23,0.0,0.0
24,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-24,55.29,1.0
203,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-25,0.0,0.0
204,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-26,0.0,0.0
205,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-27,0.0,0.0
206,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-28,0.0,0.0
207,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-29,0.0,0.0
208,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-30,0.0,0.0
209,122334.0,MESITA DE NOCHE 2 CAJONES,2019-03-31,0.0,0.0
