,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
3919,51148,muebles,"consolas, recibidores y tocadores",2019-02-12,200,0.35,1098,8,2.79,0.0,0.0,0.0,0.0,0.0
3920,51148,muebles,"consolas, recibidores y tocadores",2019-02-14,200,0.36,812,8,2.89,0.0,0.0,0.0,0.0,0.0
3921,51148,muebles,"consolas, recibidores y tocadores",2018-10-02,200,0.19,635,3,0.58,0.0,0.0,0.0,0.0,0.0
3922,51148,muebles,"consolas, recibidores y tocadores",2019-02-11,200,0.43,1052,10,4.3,0.0,0.0,0.0,0.0,0.0
3923,51148,muebles,"consolas, recibidores y tocadores",2018-10-28,200,0.16,1150,6,0.98,0.0,0.0,0.0,0.0,0.0
3924,51148,muebles,"consolas, recibidores y tocadores",2019-02-20,200,0.42,1051,5,2.08,0.0,0.0,0.0,0.0,0.0
3925,51148,muebles,"consolas, recibidores y tocadores",2018-10-09,200,0.14,636,4,0.56,0.0,1.0,0.0,0.0,0.0
3926,51148,muebles,"consolas, recibidores y tocadores",2019-03-09,300,0.27,1013,4,1.07,0.0,0.0,0.0,0.0,0.0
3927,51148,muebles,"consolas, recibidores y tocadores",2019-02-10,200,0.26,1107,10,2.63,0.0,0.0,0.0,0.0,0.0
3928,51148,muebles,"consolas, recibidores y tocadores",2019-02-09,200,0.35,918,7,2.48,0.0,0.0,0.0,0.0,0.0
3929,51148,muebles,"consolas, recibidores y tocadores",2019-01-17,200,0.26,1022,10,2.61,0.0,0.0,0.0,0.0,0.0
3930,51148,muebles,"consolas, recibidores y tocadores",2018-12-10,200,0.35,307,2,0.7,0.0,0.0,0.0,0.0,0.0
3931,51148,muebles,"consolas, recibidores y tocadores",2019-02-17,200,0.56,541,3,1.68,0.0,0.0,0.0,0.0,0.0
3932,51148,muebles,"consolas, recibidores y tocadores",2019-03-19,300,0.22,821,3,0.67,0.0,0.0,0.0,0.0,0.0
3933,51148,muebles,"consolas, recibidores y tocadores",2018-10-21,200,0.1,851,7,0.72,0.0,0.0,0.0,0.0,0.0
3934,51148,muebles,"consolas, recibidores y tocadores",2018-12-22,200,0.41,745,7,2.88,0.0,0.0,0.0,0.0,0.0
3935,51148,muebles,"consolas, recibidores y tocadores",2019-01-23,200,0.38,943,3,1.14,0.0,0.0,0.0,0.0,0.0
3936,51148,muebles,"consolas, recibidores y tocadores",2019-02-04,200,0.2,729,5,0.98,0.0,0.0,0.0,0.0,0.0
3937,51148,muebles,"consolas, recibidores y tocadores",2018-12-12,200,0.36,312,1,0.36,0.0,0.0,0.0,0.0,0.0
3938,51148,muebles,"consolas, recibidores y tocadores",2018-12-16,200,0.38,351,2,0.75,0.0,0.0,0.0,0.0,0.0
3939,51148,muebles,"consolas, recibidores y tocadores",2019-03-30,300,0.18,395,1,0.18,0.0,0.0,0.0,0.0,0.0
3940,51148,muebles,"consolas, recibidores y tocadores",2019-02-15,200,0.36,961,2,0.73,0.0,0.0,0.0,0.0,0.0
3941,51148,muebles,"consolas, recibidores y tocadores",2018-10-15,200,0.12,601,2,0.25,0.0,0.0,0.0,0.0,0.0
3942,51148,muebles,"consolas, recibidores y tocadores",2019-03-29,300,0.36,348,2,0.71,0.0,0.0,0.0,0.0,0.0
3943,51148,muebles,"consolas, recibidores y tocadores",2018-11-19,200,0.21,2859,23,4.93,0.33,0.87,34.43,111.47,6.98
3944,51148,muebles,"consolas, recibidores y tocadores",2019-01-08,200,0.62,910,4,2.46,0.0,0.0,0.0,0.0,0.0
3945,51148,muebles,"consolas, recibidores y tocadores",2018-10-26,200,0.13,566,4,0.53,0.0,0.0,0.0,0.0,0.0
3946,51148,muebles,"consolas, recibidores y tocadores",2019-02-13,200,0.4,1191,8,3.19,0.0,0.0,0.0,0.0,0.0
3947,51148,muebles,"consolas, recibidores y tocadores",2019-03-25,300,0.26,696,5,1.31,0.0,0.0,0.0,0.0,0.0
3948,51148,muebles,"consolas, recibidores y tocadores",2018-12-09,200,0.26,283,2,0.53,0.0,0.0,0.0,0.0,0.0
3949,51148,muebles,"consolas, recibidores y tocadores",2019-03-16,300,0.4,837,6,2.41,0.0,0.0,0.0,0.0,0.0
3950,51148,muebles,"consolas, recibidores y tocadores",2019-01-14,200,0.38,1055,11,4.14,0.0,0.0,0.0,0.0,0.0
3951,51148,muebles,"consolas, recibidores y tocadores",2019-03-17,300,0.18,3205,12,2.17,0.0,0.0,0.0,0.0,0.0
3952,51148,muebles,"consolas, recibidores y tocadores",2018-12-02,200,0.2,408,3,0.59,0.0,0.0,0.0,0.0,0.0
3953,51148,muebles,"consolas, recibidores y tocadores",2018-12-03,200,0.26,566,2,0.52,0.0,0.0,0.0,0.0,0.0
3954,51148,muebles,"consolas, recibidores y tocadores",2018-12-19,200,0.46,608,4,1.82,0.0,0.0,0.0,0.0,0.0
3955,51148,muebles,"consolas, recibidores y tocadores",2018-12-31,200,0.47,1183,9,4.24,0.0,0.0,0.0,0.0,0.0
3956,51148,muebles,"consolas, recibidores y tocadores",2018-11-16,200,0.34,3863,25,8.61,0.0,0.0,0.0,0.0,0.0
3957,51148,muebles,"consolas, recibidores y tocadores",2019-03-10,300,0.24,1139,4,0.97,0.0,0.0,0.0,0.0,0.0
3958,51148,muebles,"consolas, recibidores y tocadores",2018-10-25,200,0.05,659,3,0.15,0.0,0.0,0.0,0.0,0.0
3959,51148,muebles,"consolas, recibidores y tocadores",2018-12-27,200,0.44,915,4,1.77,0.0,0.0,0.0,0.0,0.0
3960,51148,muebles,"consolas, recibidores y tocadores",2019-03-04,200,0.28,1247,8,2.28,0.0,0.0,0.0,0.0,0.0
3961,51148,muebles,"consolas, recibidores y tocadores",2019-03-18,300,0.24,1949,9,2.18,0.0,0.0,0.0,0.0,0.0
3962,51148,muebles,"consolas, recibidores y tocadores",2019-02-24,200,0.32,1758,13,4.17,1.0,2.0,214.2,428.4,51.37
